host_index,hostname,seed,gpu,arm,endpoint_seconds_median,ready_arrays_to_consumer_seconds_median,correction_seconds_median,audit_seconds_median,release_verifier_seconds_median,logical_mask_seconds_median,compaction_seconds_median,synchronization_seconds_median,consumer_seconds_median,unclassified_overhead_seconds_median,gpu_energy_joules_median,peak_memory_allocated_bytes_median,peak_memory_reserved_bytes_median,physical_candidate_slots_median,logical_live_candidate_slots_median,frozen_but_computed_slots_median,audit_events_median,screen_pass_candidate_count_median,release_verifier_candidate_count_median,release_verified_candidate_count_median,compaction_events_median,logical_mask_applications_median
0,t-20260823121700-5rtng-worker-0,55048408,1,fw,3.9014433436095715,3.9014433436095715,1.717920696258545,0.6432514451444149,0.10428730770945549,0.0,0.0,4.3448060750961304e-05,1.8563392832875252,0.0,876.146,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,1,lm,3.900870341807604,3.900870341807604,1.7164716682434082,0.6424309052526951,0.10496888309717178,0.000307519999332726,0.0,4.702433943748474e-05,1.856622826308012,0.0,877.853,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,55048408,1,pc,3.181685023009777,3.181685023009777,1.0752890872955323,0.402406994253397,0.10457764565944672,0.0,0.003347360014915466,3.235042095184326e-05,1.8559958450496197,0.0,688.087,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,2,official,45.280645567923784,45.280645567923784,,,,,,,1.8561093136668205,,12970.145,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,55048408,2,w1,3.5308585949242115,3.5308585949242115,1.3811158399581909,0.5131520666182041,0.10449504479765892,0.0,0.0,0.00022352859377861023,1.856071226298809,0.0,832.371,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,2,fw,3.9035852514207363,3.9035852514207363,1.7171741752624512,0.6428295224905014,0.10453332215547562,0.0,0.0,4.3079257011413574e-05,1.8586589395999908,0.0,969.482,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,2,lm,3.90314968675375,3.90314968675375,1.7170694580078125,0.6424377635121346,0.10484103113412857,0.0003086080010980368,0.0,3.886222839355469e-05,1.8584469519555569,0.0,973.054,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,55048408,2,pc,3.1847174800932407,3.1847174800932407,1.0767273302078246,0.40250229090452194,0.10501022264361382,0.0,0.003637888014316559,3.750249743461609e-05,1.8577840514481068,0.0,759.304,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,3,official,45.285093143582344,45.285093143582344,,,,,,,1.8576517701148987,,12722.681,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,55048408,3,w1,3.551057033240795,3.551057033240795,1.3884628486633301,0.5150233432650566,0.10527881234884262,0.0,0.0,0.0003445632755756378,1.8623479045927525,0.0,817.878,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,3,fw,3.897714674472809,3.897714674472809,1.7129931793212891,0.6411598175764084,0.10506894066929817,0.0,0.0,4.7363340854644775e-05,1.8584321774542332,0.0,956.025,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,55048408,3,lm,3.8986759297549725,3.8986759297549725,1.7132210083007813,0.6410161070525646,0.10480983927845955,0.00031040000263601544,0.0,3.850087523460388e-05,1.8588116876780987,0.0,954.788,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,55048408,3,pc,3.183419708162546,3.183419708162546,1.075227620124817,0.40205657482147217,0.10475169494748116,0.0,0.0034831359982490538,3.768503665924072e-05,1.8590412624180317,0.0,745.023,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,0,official,45.07566897198558,45.07566897198558,,,,,,,1.8559624180197716,,12626.056,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,979986572,0,w1,3.532904516905546,3.532904516905546,1.3810769577026365,0.513107605278492,0.10445887967944145,0.0,0.0,0.0002487599849700928,1.8582091107964516,0.0,803.689,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,0,fw,3.8974279016256332,3.8974279016256332,1.7100813865661622,0.6402160972356796,0.10488274693489075,0.0,0.0,4.6022236347198486e-05,1.8598781563341618,0.0,977.404,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,0,lm,3.8950307071208954,3.8950307071208954,1.7084689903259278,0.638341385871172,0.10502684116363525,0.000305184000171721,0.0,4.165247082710266e-05,1.8592268489301205,0.0,962.78,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,979986572,0,pc,3.1781186126172543,3.1781186126172543,1.0721267137527466,0.4010342136025429,0.10434286668896675,0.0,0.0031770559549331666,3.33152711391449e-05,1.8585080914199352,0.0,772.095,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,1,official,45.11876806244254,45.11876806244254,,,,,,,1.8537148758769035,,11452.678,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,979986572,1,w1,3.5261279717087746,3.5261279717087746,1.3785135984420775,0.5122045837342739,0.10430112108588219,0.0,0.0,0.0002391412854194641,1.8555207289755344,0.0,730.762,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,1,fw,3.8955732956528664,3.8955732956528664,1.713927318572998,0.6414774693548679,0.10470656305551529,0.0,0.0,4.447251558303833e-05,1.8557928390800953,0.0,873.204,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,1,lm,3.8944429717957973,3.8944429717957973,1.713313819885254,0.6415102183818817,0.10457263514399529,0.0003056319989264011,0.0,3.843754529953003e-05,1.8555911928415298,0.0,897.948,84738048.0,274726912.0,256.0,156.0,100.0,8.0,8.0,8.0,8.0,0.0,20.0
0,t-20260823121700-5rtng-worker-0,979986572,1,pc,3.1832260452210903,3.1832260452210903,1.076087013244629,0.40229253098368645,0.10491746664047241,0.0,0.0036169919967651365,4.671141505241394e-05,1.8566348440945148,0.0,701.41,112134144.0,270532608.0,156.0,156.0,0.0,8.0,8.0,8.0,8.0,5.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,2,official,45.29393497481942,45.29393497481942,,,,,,,1.8554811552166939,,13216.939,304039424.0,524288000.0,,,,,,,,,
0,t-20260823121700-5rtng-worker-0,979986572,2,w1,3.5358133278787136,3.5358133278787136,1.382030020713806,0.513318944722414,0.1046689935028553,0.0,0.0,0.00035047903656959534,1.857531599700451,0.0,829.58,62822912.0,268435456.0,156.0,156.0,0.0,39.0,8.0,8.0,8.0,0.0,0.0
0,t-20260823121700-5rtng-worker-0,979986572,2,fw,3.8957487642765045,3.8957487642765045,1.712903938293457,0.6411520428955555,0.10433176904916763,0.0,0.0,4.131719470024109e-05,1.8569294065237045,0.0,1010.974,84738048.0,272629760.0,256.0,256.0,0.0,8.0,33.0,8.0,8.0,0.0,0.0
